ID;NOM;STATUT;ROR;SIREN;FINESS;SiteWeb
I0002;ABBVIE;Industrie;;750775660;;
I0003;AEPEI (ASSOCIATION POUR L'ETUDE ET LA PREVENTION DES L'ENDOCARDITE INFECTIEUSE);Privé à but non lucratif;;428445696;;
I0004;AG2R AGIRC-ARRCO (UGRR);Industrie;;775682917;;
I0018;AGIR POUR LES MALADIES CHRONIQUES;Privé à but non lucratif;;804964849;;
I0019;AGRICA PREVOYANCE SERVICES;Industrie;;891815466;;
I0020;AHREK ASS HAUTEVI RECHERCHE ETUDE KINESI;Privé à but non lucratif;;443990387;;
I0021;AIRBUS;Industrie;;383474814;310036918;
I0022;ALLERGAN INDUSTRIE;Industrie;;344097902;;
I0023;ALTANA PHARMA AG;Industrie;;422716779;;
I0024;AMGEN;Industrie;;377998679;;
I0025;APF FRANCE HANDICAP (APF);Privé à but non lucratif;;775688732;270031008;
I0027;ARCELOR LUXEMBOURG;Industrie;;775751456;;
I0028;AREM CAR;Privé à but non lucratif;;785698788;;
I0036;ASS DES PATIENTS SOUFFRANTS DU SYNDROME DE L INTESTIN IRRITABLE (APSSII);Privé à but non lucratif;;533148680;;
I0037;ASS FRANCAISE CONTRE LES MYOPATHIES (AFM);Privé à but non lucratif;;775609571;2B0007108;
I0038;ASS FRANCAISE POUR L ETUDE DU FOIE (AFEF);Privé à but non lucratif;;434951596;;
I0039;ASS HISTIOCYTOSE FRANCE;Privé à but non lucratif;;432443620;;
I0040;ASS OBSERVATOIRE DE LA VIE ETUDIANTE;Privé à but non lucratif;;432952950;;
I0041;ASS POUR LE DEVELOPPEMENT D'HBSC;Privé à but non lucratif;;484004502;;
I0042;ASS RECHERCHE EPIDEMIOLOGIQUE REGISTRES (ARER68);Privé à but non lucratif;;352113096;;
I0043;ASS REGISTRE CANCERS DEP MANCHE (ARKM);Privé à but non lucratif;;398424770;;
I0046;ASSO SOCIETE FRANCAISE DE NEPHROLOGIE;Privé à but non lucratif;;352216220;;
I0047;ASSOC FRANCE PARKINSON;Privé à but non lucratif;;332111541;;
I0048;ASSOC VAINCRE LES MALADIES LYSOSOMALES (VML);Privé à but non lucratif;;384719209;;
I0049;ASSOCIATION CRYOSTEM;Privé à but non lucratif;;813575081;;
I0050;ASSOCIATION DE NEUROANESTHESIE-REANIMATION DE LANGUE FRANCAISE ANARLF;Privé à but non lucratif;;923239784;;
I0051;ASSOCIATION DE RECHERCHE EN NEUROLOGIE VASCULAIRE (ARNEVA);Privé à but non lucratif;;489698373;;
I0053;ASSOCIATION DES UTILISATEURS DE DOSSIERS INFORMATISES EN PEDIATRIE, OBSTETRIQUE ET GYNECOLOGIE (AUDIPOG);Privé à but non lucratif;;398708537;;
I0054;ASSOCIATION FIVNAT;Privé à but non lucratif;;395163454;;
I0055;ASSOCIATION FRANCAISE DES DIABETIQUES (A F D);Privé à but non lucratif;;504783499;;
I0056;ASSOCIATION FRANCAISE POUR LA RECHERCHE THERMALE (AFRETH);Privé à but non lucratif;;489004309;;
I0058;ASSOCIATION LAURETTE FUGAIN;Privé à but non lucratif;;450599691;;
I0059;ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE (ANPAA);Privé à but non lucratif;;775660087;250007739;
I0061;ASSOCIATION POUR LA RECHERCHE EPIDEMIOLOGIQUE DANS LES CANCERS DE L'ENFANT ET DE L'ADOLESCENT (ARECEA);Privé à but non lucratif;;392242822;;
I0062;ASSOCIATION SANTE ENVIRONNEMENT FRANCE;Privé à but non lucratif;;507905834;;
I0063;ASSOCIATION SUICIDE ET MAL ETRE CHEZ L'ADOLESCENT (ASMA);Privé à but non lucratif;;443512355;;
I0065;AUTORITE DE CONTROLE DES NUISANCES AEROPORTUAIRES (ACNUSA);Public (France);;110000189;;
I0067;BAXTER S.A.S;Industrie;;304317357;;
I0068;BAYER SAS;Industrie;;562038893;690053954;
I0069;BECTON DICKINSON FRANCE;Industrie;;56501711;380027615;
I0072;BOEHRINGER INGELHEIM INTERNATIONAL GMBH;Industrie;;508241882;;
I0073;BOIRON;Industrie;;967504697;;
I0074;BPIFRANCE;Public (France);;483790069;;
I0076;BUS 31 32;Privé à but non lucratif;;490478062;130023229;
I0077;CADASIL FRANCE;Privé à but non lucratif;;438378796;;
I0078;CAISSE CENTRALE DE MUTUALITE SOCIALE AGRICOLE (CCMSA);Public (France);;302990445;;
I0079;CAISSE D ALLOCATIONS FAMILIALES DE LA HAUTE-GARONNE (CAF 31);Public (France);;776950446;;
I0080;CAISSE GENERALE DE SECURITE SOCIALE (CGSS);Public (France);;314572025;970115531;
I0082;CAISSE NATIONALE DE RETRAITES DES AGENTS DES COLLECTIVITES LOCALES (CNRACL);Public (France);;180035040;;
I0086;CAISSE PRIMAIRE ASSURANCE MALADIE PARIS (CPAMP);Public (France);;323841353;750720856;
I0087;CAISSE PRIMAIRE D ASSURANCE MALADIE DU RHONE (CPAM DU RHONE);Public (France);;517465928;690797006;
I0088;CAISSE PRIMAIRE D'ASSURANCE MALADIE DU PUY DE DOME;Public (France);;775634249;630786390;
I0089;CAISSE PRIMAIRE D'ASSURANCE MALADIE TOULOUSE;Public (France);;776950404;310792718;
I0090;CALYXIS POLE D EXPERTISE DES RISQUES (CEPR);Privé à but non lucratif;;414294991;;
I0091;CANCEROPOLE ILE-DE-FRANCE;Public (France);;130003858;;
I0092;CANCEROPOLE NORD-OUEST;Public (France);;130007362;;
I0093;CANDIA (C.SAS);Industrie;;352014955;;
I0094;CAPNET;Autre;;403710536;;
I0096;CEGEDIM SANTE (SOFILOCA) (ABREVIATION CHS);Industrie;;348940255;;
I0099;CENTRE DE RECHERCHES ET DE DEVELOPPEMENT DE TECHNIQUES ET PRODUITS ALIMENTAIRES (TEPRAL);Autre;;339610305;;
I0101;CENTRE D'ETUDES DE L'EMPLOI (CEE);Autre;;180038044;;
I0102;CENTRE ETUDE ANIMATION FORMATION (CETAF);Privé à but non lucratif;;379475205;;
I0105;CENTRE HOSPITALIER DE CAYENNE;Public (France);;269733028;970302022;
I0106;CENTRE HOSPITALIER DE MARNE-LA-VALLEE;Public (France);;267709343;;
I0140;CENTRE INVESTIGATION PREVENTIVE CLINIQUE (IPC);Privé à but non lucratif;;327657144;750825689;
I0142;CENTRE NATIONAL DE GENOTYPAGE;Public (France);;189100076;;
I0144;CENTRE NATIONAL POUR LE DEVELOPPEMENT DU SPORT (CNDS);Public (France);;130001464;;
I0145;CENTRE PROTECTION MATERNELLE INFANTILE (PMI);Public (France);;310381736;;
I0147;CERBA;Industrie;;402928766;950003806;
I0150;CHUGAI PHARMA FRANCE;Industrie;;435074422;;
I0151;CLUB FRANCOPHONE D ECHOENDOSCOPIE (ASSOCIATION);Privé à but non lucratif;;502472665;;
I0152;CLUB REFLEXION GROUPES DE GASTRO ENTEROL (CREGG);Privé à but non lucratif;;342104460;;
I0153;COGEMA;Industrie;;524517901;;
I0154;COLGATE-PALMOLIVE;Industrie;;478991649;;
I0155;COLLEGE DES UNIVERSITAIRES DE MALADIES INFECTIEUSES ET TROPICALES (CMIT);Privé à but non lucratif;;417875358;;
I0156;COLLEGE NATIONAL DES GENERALISTES ENSEIGNANTS - COLLEGE ACADEMIQUE (CNGE - COLLEGE ACADE);Privé à but non lucratif;;529534984;;
I0157;COLLEGE PNEUMOLOGUES HOPITAUX GENERAUX (CPHG);Autre;;413350554;;
I0158;COMITE DE COORDINATION DE L'EVALUATION CLINIQUE ET DE LA QUALITE EN NOUVELLE-AQUITAINE (CCECQA);Privé à but non lucratif;;409084308;;
I0159;COMITE FRANCAIS DE LUTTE CONTRE LHYPERTENTION ARTERIELLE;Privé à but non lucratif;;534321922;;
I0168;CREAI-ORS OCCITANIE (CREAI-ORS LR);Privé à but non lucratif;;775589229;;
I0170;CREDOC CENT RECH POUR ETUD OBS;Privé à but non lucratif;;784537649;;
I0171;CSL BEHRING S.A.;Industrie;;383939352;;
I0172;CTRE EUR ETUD SECURITE ANALYSES RISQUES (CEESAR);Privé à but non lucratif;;390457125;;
I0175;CTRE RECHERCHE PATHOLOGIES PROSTATIQUES (CEREPP);Privé à but non lucratif;;403512080;;
I0176;DAIICHI SANKYO FRANCE SAS (LABORATOIRES PHARMACEUTIQUES FORNET - SANKYO PHARMA FRANCE);Industrie;;382677144;;
I0177;DANONE;Industrie;;552032534;750073173;
I0178;DAT'AIDS (DAT'AIDS);Privé à but non lucratif;;501206130;;
I0189;DEPARTEMENT DU TARN;Public (France);;228100012;810102632;
I0193;ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES (EHESS);Public (France);;197537426;;
I0195;ECOLE POLYTECHNIQUE;Public (France);;199115684;;
I0196;E-HEALTH SERVICES SANOIA;Industrie;;528233190;;
I0197;EISAI SAS;Public (Europe);;403459639;;
I0199;EMEVIA (USEM);Industrie;;319579736;;
I0200;ENFANT ET SANTE;Privé à but non lucratif;;323947168;750806259;
I0201;EPIDEMIOLOGIE DES CANCERS PAYS DE LOIRE (EPIC PL);Privé à but non lucratif;;438959975;;
I0202;ERASME;Industrie;;509211363;;
I0203;ESSILOR INTERNATIONAL;Public (Europe);;439769654;;
I0210;FED NAT OBSERVATOIRE REGIONAUX SANTE (FNORS);Privé à but non lucratif;;382394278;;
I0211;FEDERATION DES ACTEURS DE LA SOLIDARITE;Privé à but non lucratif;;308401090;;
I0212;FEDERATION FRANCAISE DE CARDIOLOGIE;Privé à but non lucratif;;784453250;;
I0213;FEDERATION NATIONALE MUTUALITE FRANCAISE (FNMF);Privé à but non lucratif;;304426240;750000432;
I0214;FEDERATION PROMOTION SANTE;Privé à but non lucratif;;448841767;;
I0215;FERRING SAS;Industrie;;322624735;;
I0216;FOND DE DOTATION POUR LA RECHERCHE CLINIQUE EN ORTHOPEDIE ET PATHOLOGIE DU SPORT;Privé à but non lucratif;;790937023;;
I0218;FONDATION ARC POUR LA RECHERCHE SUR LE CANCER;Privé à but non lucratif;;752064949;;
I0219;FONDATION D ENTREPRISE CNP ASSURANCES;Privé à but non lucratif;;794697706;;
I0220;FONDATION D ENTREPRISE ORANGE;Privé à but non lucratif;;391872363;;
I0221;FONDATION DE FRANCE;Privé à but non lucratif;;784314908;;
I0222;FONDATION DE L AP HP POUR LA RECHERCHE;Privé à but non lucratif;;817850811;;
I0223;FONDATION DE RECHERCHE SUR L'HYPERTENSION ARTERIELLE (FRHTA);Privé à but non lucratif;;492037684;;
I0224;FONDATION ENTREPRISE MGEN SANTE PUBLIQUE (FSP MGEN);Privé à but non lucratif;;444268627;;
I0226;FONDATION FORCE POUR L'INNOVATION ET LA RECHERDHE EN SANTE;Privé à but non lucratif;;351982707;;
I0228;FONDATION FRANCE SCLEROSE EN PLAQUES (FONDATION FRANCE SEP);Privé à but non lucratif;;313721409;;
I0229;FONDATION GARCHES;Privé à but non lucratif;;482903747;;
I0230;FONDATION POUR LA RECHERCHE MEDICALE;Privé à but non lucratif;;784314064;;
I0231;FONDATION POUR LA RECHERCHE SUR ALZHEIMER;Privé à but non lucratif;;828743807;;
I0232;FONDATION VOIR ET ENTENDRE;Privé à but non lucratif;;498340892;;
I0233;FRANCE TELECOM;Industrie;;441965027;;
I0235;FRENCH INNOVATIVE LEUKEMIA ORGANIZATION (F.I.L.O.). (F.I.L.O.);Privé à but non lucratif;;815348263;;
I0236;FRESENIUS KABI FRANCE;Industrie;;419875786;;
I0238;GIE DES THERMES D'USSAT;Industrie;;352872261;;
I0239;GILEAD SCIENCES;Industrie;;391360971;;
I0244;GROUPE FRANCAIS DE NEURO-GASTRO-ENTEROLOGIE (GFNG);Privé à but non lucratif;;791608334;;
I0245;GROUPE FRANCAIS DE PNEUMO-CANCEROLOGIE;Privé à but non lucratif;;438343972;;
I0247;GROUPE SARCOME FRANCAIS - GROUPE D'ETUDE DES TUMEURS OSSEUSES (GSF-GETO);Privé à but non lucratif;;750388860;;
I0248;GROUPEMENT COOPERATION SANITAIRE CENTRE ETOILE;Autre;;130004492;;
I0250;GROUPEMENT REGIONAL DE SANTE PUBLIQUE D AUVERGNE;Public (France);;130002769;;
I0251;GROUPT ETUDE MALADIES METABOLIQUES SYST. (GEMMS);Privé à but non lucratif;;441699105;;
I0252;GRPE ETUDE FORM OUTILS SOLAIRES ALT TECH (GEFOSAT);Privé à but non lucratif;;316238740;;
I0253;GUERIDUNCANCER;Privé à but non lucratif;;808426266;;
I0254;HAUTE AUTORITE DE SANTE (HAS);Public (France);;110000445;;
I0256;HHORAGES-FRANCE;Privé à but non lucratif;;445220734;;
I0259;IBSA PHARMA SAS;Industrie;;341264570;;
I0260;IMS HEALTH LIMITED;Industrie;;505056390;;
I0261;INFO SARCOMES;Privé à but non lucratif;;530748169;;
I0262;INSERM TRANSFERT;Privé à but non lucratif;;434033619;;
I0263;INST INTER MED TRAV PARIS IDF (IIMTPIF);Privé à but non lucratif;;392114674;;
I0266;INSTITUT CSA;Industrie;;308293430;;
I0270;INSTITUT DE RECHERCHE EN SANTE RESPIRATOIRE DES PAYS DE LA LOIRE (IRSBPL);Privé à but non lucratif;;528816523;;
I0273;INSTITUT DE SANTE TRAVAIL NORD FRANCE (ISTNF);Privé à but non lucratif;;783708381;;
I0292;IPSEN INNOVATION;Industrie;;408342616;;
I0295;JANSSEN CILAG (JANSSEN - JOHNSON & JOHNSON - JOHNSON & JOHNSON INNOVATIVE MEDICINE);Industrie;;562033068;;
I0296;JEUDEVI - JEUNESSE DEVELOPPEMENT INTELLIGENTS;Industrie;;497968479;;
I0299;KAPPA SANTE;Industrie;;445405046;;
I0301;L.A. SANTE EPIDEMIOLOGIE EVALUATION RECH;Industrie;;450195979;;
I0302;LA DOULEUR ET LE PATIENT DOULOUREUX;Privé à but non lucratif;;793531658;;
I0303;LABORATOIRE FRANCAIS DU FRACTIONNEMENT ET DES BIOTECHNOLOGIES (LFB);Industrie;;180036147;;
I0304;LABORATOIRES BESINS INTERNATIONAL;Industrie;;572223394;;
I0305;LABORATOIRES FOURNIER SAS;Industrie;;311596670;;
I0308;LES LABORATOIRES SERVIER;Industrie;;85480796;920041324;
I0309;LES RIRES D'ANNA;Privé à but non lucratif;;924663008;;
I0310;LESIEUR;Industrie;;457208619;;
I0311;LIFESCIENCES;Industrie;;429487507;;
I0312;LIGUE FRANCAISE CONTRE L EPILEPSIE (LFCE);Privé à but non lucratif;;391270006;;
I0314;LILLY FRANCE;Industrie;;609849153;;
I0315;LN PHARMA;Industrie;;439632241;;
I0316;LUNDBECK SAS;Industrie;;552123200;;
I0317;LUPUS FRANCE;Privé à but non lucratif;;477770614;;
I0318;LUXIA SCIENTIFIC;Industrie;;790719132;;
I0320;MACIF (SA);Industrie;;781452511;;
I0321;MALADIES RARES INFO SERVICES;Privé à but non lucratif;;440803724;;
I0322;MALAKOFF HUMANIS MUTUELLE (MHM);Privé à but non lucratif;;784718256;;
